"TERM","DEPT","courses","students","total_amt"
"202380","AFST",26,199,0
"202380","AMST",23,418,0
"202380","ANTH",37,601,12470
"202380","ARSC",2,319,0
"202380","ARTH",2,23,1207.5
"202380","ASCP",1,56,0
"202380","BIOL",96,2023,77516
"202380","CCS",71,913,0
"202380","CHEM",6,1156,100075
"202380","CJ",57,4163,123585
"202380","ECON",2,17,425
"202380","ENGL",4,3071,12284
"202380","EPS",9,418,12015
"202380","GES",32,1178,44778
"202380","HIST",61,1142,0
"202380","HMHV",5,134,0
"202380","ISI",10,88,0
"202380","LCL",70,1801,18445
"202380","LING",61,1025,4630
"202380","LTAM",23,31,0
"202380","MATH",23,1735,40549
"202380","MSST",22,91,4368
"202380","NATV",29,349,0
"202380","PADM",20,259,3885
"202380","PCST",3,0,0
"202380","PHIL",37,1159,0
"202380","PHYS",18,1900,51050
"202380","POLS",2,37,925
"202380","PSYC",2,44,220
"202380","PUBP",2,18,0
"202380","RELG",15,756,0
"202380","SHS",2,40,3600
"202380","SOCI",34,1776,0
"202380","SPAN",47,1131,22625
"202380","WGSS",23,263,0
