"","TERM","CRN","SUBJ","SUBJ_CRSE","SECT","level","CRSE_TITLE","INST_METHOD","PT","INST_NAME","Academic Title","ENROLLED","total_enrl","XL_SUBJ","SEATS_AVAIL"
"1","201980","63926","POLS","POLS 2120","002","lower","2120: International Relations","ENH","1","Powers, Kathy","Associate Professor",58,58,"0",2
"2","201980","68430","POLS","POLS 400","006","upper","400: Adv T: Architecture of Justice","ENH","1","Powers, Kathy","Associate Professor",7,7,"0",8
"3","201980","66540","POLS","POLS 541","001","grad","541: Sem: Transitional Justice","ENH","1","Powers, Kathy","Associate Professor",10,10,"0",15
"4","202010","53612","POLS","POLS 346","001","upper","346: Intl Political Economy","ENH","1","Powers, Kathy","Associate Professor",45,45,"0",0
"5","202080","70720","POLS","POLS 300","007","upper","300: T: Transitional Justice","ENH","1","Powers, Kathy","Associate Professor",32,32,"0",2
"6","202080","70221","POLS","POLS 340","001","upper","340: T: International Organizations","ENH","1","Powers, Kathy","Associate Professor",42,42,"0",2
"7","202080","70222","POLS","POLS 540","001","grad","540: Pro-Sem in Intl Relations","ENH","1","Powers, Kathy","Associate Professor",8,10,"POLS",17
"8","202180","63926","POLS","POLS 2120","002","lower","2120: International Relations","HYB","1","Powers, Kathy","Associate Professor",55,55,"0",5
"9","202180","70337","POLS","POLS 300","008","upper","300: T: Transitional Justice","HYB","1","Powers, Kathy","Associate Professor",29,29,"0",5
"10","202180","70338","POLS","POLS 340","001","upper","340: T: International Organizations","HYB","1","Powers, Kathy","Associate Professor",34,34,"0",6
"11","202210","57612","POLS","POLS 541","001","grad","541: Sem: Transitional Justice","ONL","1","Powers, Kathy","Associate Professor",6,6,"0",9
"12","202280","70338","POLS","POLS 340","001","upper","340: T: International Organizations","ENH","1","Powers, Kathy","Associate Professor",30,30,"0",15
"13","202280","72808","POLS","POLS 540","001","grad","540: Sem: International Politics","ENH","1","Powers, Kathy","Associate Professor",6,6,"0",9
"14","202380","76289","POLS","POLS 300","003","upper","300: T: Transitional Justice","ENH","1","Powers, Kathy","Associate Professor",28,28,"0",17
"15","202410","62274","POLS","POLS 300","002","upper","300: T: African Amer Reparations","ENH","1","Powers, Kathy","Associate Professor",9,14,"AFST",6
"16","202480","78377","POLS","POLS 346","001","upper","346: Intl Political Economy","0","1","Powers, Kathy",NA,20,20,"0",25
"17","202480","78871","POLS","POLS 400","002","upper","400: Adv T: Afr Diaspora &Intl Cour","0","1","Powers, Kathy",NA,2,4,"INTS",6
"18","202480","78871","POLS","POLS 400","002","upper","400: Adv T: Afr Diaspora &Intl Cour","0","1","Powers, Kathy",NA,2,4,"AFST",6
